protId	avgScore	totall	symbol
P17931	23.6659933110929	94.6639732443714	LEG3_HUMAN
Q99797	16.0591800323086	16.0591800323086	MIPEP_HUMAN
O14498	14.8030686935201	59.2122747740806	ISLR_HUMAN
O60504	13.9324615118772	41.7973845356315	VINEX_HUMAN
P42126	13.1870513589812	13.1870513589812	ECI1_HUMAN
P06703	12.8196580430303	25.6393160860606	S10A6_HUMAN
Q16822	12.7153904095224	12.7153904095224	PCKGM_HUMAN
P07202	12.4764622339744	37.4293867019233	PERT_HUMAN
P02743	12.2721768321171	36.8165304963512	SAMP_HUMAN
O14907	12.0011583387062	36.0034750161187	TX1B3_HUMAN
P63279	11.8227520456119	23.6455040912238	UBC9_HUMAN
Q6UVK1	11.6856998318041	23.3713996636083	CSPG4_HUMAN
P25787	11.5445868331397	34.633760499419	PSA2_HUMAN
P35754	11.5359435144119	11.5359435144119	GLRX1_HUMAN
Q96FF7	11.3350440546346	22.6700881092692	MISP3_HUMAN
Q8N6C5	11.297392085404	22.594784170808	IGSF1_HUMAN
P31937	11.0967845806796	11.0967845806796	3HIDH_HUMAN
P62266	10.8491782093461	10.8491782093461	RS23_HUMAN
O94906	10.6287287026253	10.6287287026253	PRP6_HUMAN
Q9GZT3	10.6209980059384	31.8629940178153	SLIRP_HUMAN
Q96Q05	10.4844331885869	31.4532995657608	TPPC9_HUMAN
P04406	10.4425921632704	20.8851843265408	G3P_HUMAN
P08397	10.4293600952917	20.8587201905834	HEM3_HUMAN
P14618	10.3795193125089	20.7590386250179	KPYM_HUMAN
P09382	10.3700789921871	31.1102369765613	LEG1_HUMAN
P19388	10.2635223809836	20.5270447619672	RPAB1_HUMAN
Q9BYX7	10.228286932217	10.228286932217	ACTBM_HUMAN
O95154	10.2175992117	10.2175992117	ARK73_HUMAN
Q96AE4	10.2145569763743	51.0727848818717	FUBP1_HUMAN
P61353	10.2058531819843	20.4117063639687	RL27_HUMAN
P11142	10.1486916720327	40.5947666881307	HSP7C_HUMAN
Q10567	10.1164879524577	20.2329759049154	AP1B1_HUMAN
Q86UN3	10.0346129571643	20.0692259143286	R4RL2_HUMAN
P62314	10.0312911911104	10.0312911911104	SMD1_HUMAN
P07355	10.0097667223898	30.0293001671693	ANXA2_HUMAN
Q9H0D6	9.8129241708441	9.8129241708441	XRN2_HUMAN
Q14247	9.77611861745962	29.3283558523789	SRC8_HUMAN
Q04837	9.67078457059216	29.0123537117765	SSBP_HUMAN
Q9HCC0	9.52784801149454	9.52784801149454	MCCB_HUMAN
O75506	9.50181320640489	9.50181320640489	HSBP1_HUMAN
Q58FF3	9.4869082911886	9.4869082911886	ENPLL_HUMAN
P61916	9.44187451659136	9.44187451659136	NPC2_HUMAN
P43246	9.42411475267798	9.42411475267798	MSH2_HUMAN
P00568	9.37909401697298	28.137282050919	KAD1_HUMAN
O75367	9.34465164886543	9.34465164886543	H2AY_HUMAN
P06702	9.25105432929195	9.25105432929195	S10A9_HUMAN
Q8NBJ4	9.21788507912351	18.435770158247	GOLM1_HUMAN
Q14974	9.20114018808215	9.20114018808215	IMB1_HUMAN
P41240	9.0255693853093	9.0255693853093	CSK_HUMAN
Q6Y7W6	9.02355256872803	36.0942102749121	GGYF2_HUMAN
Q9BRT3	8.97447652246873	8.97447652246873	MIEN1_HUMAN
P27694	8.94625205975781	8.94625205975781	RFA1_HUMAN
O75347	8.89872137737295	26.6961641321189	TBCA_HUMAN
Q13425	8.86992430154684	8.86992430154684	SNTB2_HUMAN
O00469	8.86083184769072	17.7216636953814	PLOD2_HUMAN
Q8NE62	8.7956372998503	8.7956372998503	CHDH_HUMAN
P60174	8.7444099104787	26.2332297314361	TPIS_HUMAN
P07311	8.68955478978287	8.68955478978287	ACYP1_HUMAN
P15121	8.6718531521774	8.6718531521774	ALDR_HUMAN
Q5JTZ9	8.66504193741262	8.66504193741262	SYAM_HUMAN
Q8TCS8	8.6103881269476	8.6103881269476	PNPT1_HUMAN
P62913	8.60644941051772	25.8193482315532	RL11_HUMAN
P55036	8.56078393318935	17.1215678663787	PSMD4_HUMAN
O00203	8.4340147170987	8.4340147170987	AP3B1_HUMAN
Q02878	8.40989160382887	8.40989160382887	RL6_HUMAN
